batch_size,lr,num_epochs,best_val_acc
32,0.001,10,0.7523333333333333
32,0.001,20,0.7836666666666666
32,0.001,30,0.798
32,0.0005,10,0.732
32,0.0005,20,0.7766666666666666
32,0.0005,30,0.7813333333333333
32,0.0001,10,0.6443333333333333
32,0.0001,20,0.6816666666666666
32,0.0001,30,0.701
64,0.001,10,0.7203333333333334
64,0.001,20,0.7543333333333333
64,0.001,30,0.7876666666666666
64,0.0005,10,0.6876666666666666
64,0.0005,20,0.728
64,0.0005,30,0.7583333333333333
64,0.0001,10,0.5893333333333334
64,0.0001,20,0.6393333333333333
64,0.0001,30,0.6733333333333333
128,0.001,10,0.6916666666666667
128,0.001,20,0.7206666666666667
128,0.001,30,0.7356666666666667
128,0.0005,10,0.627
128,0.0005,20,0.699
128,0.0005,30,0.707
128,0.0001,10,0.5366666666666666
128,0.0001,20,0.6023333333333334
128,0.0001,30,0.6406666666666667
